event_id,map_name,games,atk_win_pct,def_win_pct,agent,pick_rate_pct
3028,Ascent,1,59.0,41.0,omen,100.0
3028,Ascent,1,59.0,41.0,sova,100.0
3028,Ascent,1,59.0,41.0,viper,0.0
3028,Ascent,1,59.0,41.0,neon,0.0
3028,Ascent,1,59.0,41.0,fade,0.0
3028,Ascent,1,59.0,41.0,cypher,50.0
3028,Ascent,1,59.0,41.0,phoenix,50.0
3028,Ascent,1,59.0,41.0,raze,0.0
3028,Ascent,1,59.0,41.0,jett,100.0
3028,Ascent,1,59.0,41.0,harbor,0.0
3028,Ascent,1,59.0,41.0,vyse,0.0
3028,Ascent,1,59.0,41.0,breach,0.0
3028,Ascent,1,59.0,41.0,waylay,0.0
3028,Ascent,1,59.0,41.0,chamber,0.0
3028,Ascent,1,59.0,41.0,killjoy,50.0
3028,Ascent,1,59.0,41.0,sage,0.0
3028,Ascent,1,59.0,41.0,kayo,50.0
3028,Ascent,1,59.0,41.0,skye,0.0
3028,Ascent,1,59.0,41.0,clove,0.0
3028,Ascent,1,59.0,41.0,yoru,0.0
3028,Ascent,1,59.0,41.0,astra,0.0
3028,Ascent,1,59.0,41.0,iso,0.0
3028,Ascent,1,59.0,41.0,reyna,0.0
3028,Ascent,1,59.0,41.0,tejo,0.0
3028,Ascent,1,59.0,41.0,veto,0.0
3028,Ascent,1,59.0,41.0,gekko,0.0
3028,Ascent,1,59.0,41.0,deadlock,0.0
3028,Ascent,1,59.0,41.0,brimstone,0.0
3028,Ascent,1,59.0,41.0,miks,0.0
